ApprovalFiscalYear,GrossApproval,NaicsCode,InitialInterestRate,BorrState,JobsSupported,LoanStatus
2016,1304000,114111,7.625,OR,43,CANCLD
2017,1187500,114111,6.97,NY,23,EXEMPT
2018,1735800,114111,8.24,AK,30,EXEMPT
2019,3125900,114111,7.785,AK,47,EXEMPT
2020,2015000,114111,8.05,NC,59,EXEMPT
2012,1324700,114112,5.945454545,MA,29,EXEMPT
2013,2133400,114112,5.638333333,CA,52,PIF
2014,1616700,114112,6.1025,CA,26,PIF
2015,2166400,114112,6.153684211,FL,67,PIF
2016,1315200,114112,5.998235294,CA,40,PIF
2017,3276700,114112,6.906428571,NC,77,EXEMPT
2018,443100,114112,7.696,ME,16,EXEMPT
2019,523385,114112,7,ME,8,EXEMPT
2020,3757346,114112,5.855,OR,31,EXEMPT
2012,799000,114119,6.08,MA,26,CANCLD
2014,2135000,114119,6.75,AK,98,EXEMPT
2015,1690900,114119,5.991111111,WA,79,EXEMPT
2016,925000,114119,6.762,FL,25,PIF
2017,1061800,114119,6.9625,AK,21,PIF
2018,585000,114119,7.34,MN,15,EXEMPT
2019,4478000,114119,8.3725,MD,43,EXEMPT
2020,180000,114119,9.25,OH,5,EXEMPT
2012,874100,114210,5.75,TX,7,PIF
2013,365000,114210,5.25,WI,1,CANCLD
2014,1998500,114210,5.583333333,IN,19,PIF
2015,167000,114210,5.625,UT,9,EXEMPT
2016,466500,114210,6.642857143,NY,17,EXEMPT
2017,152000,114210,6.166666667,MT,8,PIF
2018,180500,114210,6.75,FL,6,CANCLD
2019,530000,114210,8.8,AK,12,EXEMPT
2012,2050000,115111,6.5,GA,9,PIF
2015,1891000,115111,5.125,NC,10,CANCLD
2012,9325800,115112,5.942173913,SD,154,PIF
2013,7468800,115112,5.983888889,LA,99,PIF
2014,7518000,115112,5.9384,WA,134,CANCLD
2015,6579100,115112,5.905806452,WI,107,EXEMPT
2016,8001363,115112,5.804857143,OK,157,EXEMPT
2017,3196600,115112,6.044,IA,79,EXEMPT
2018,9565800,115112,6.082291667,OR,180,EXEMPT
2019,3154400,115112,7.862173913,MA,72,EXEMPT
2020,3149300,115112,6.38,AR,34,EXEMPT
2012,6538700,115113,6.294444444,MN,83,PIF
2013,348500,115113,5.625,OH,15,PIF
2014,1068400,115113,7.025,TX,27,PIF
2015,1046000,115113,6.585833333,VT,40,PIF
2016,857400,115113,6.575,WI,16,EXEMPT
2017,4166700,115113,6.56,KS,62,EXEMPT
2018,1240000,115113,6.464285714,KS,23,PIF
2019,865100,115113,6.541666667,MN,20,EXEMPT
2020,19000,115113,5.74,KS,20,COMMIT
2012,4838000,115114,5.248,CA,70,PIF
2013,7319000,115114,5.888888889,CA,66,PIF
2014,13096600,115114,5.895833333,MT,314,PIF
2015,14437700,115114,5.45,GA,387,EXEMPT
2016,11034100,115114,6.068181818,GA,201,PIF
2017,12067300,115114,6.207142857,GA,97,PIF
2018,20120400,115114,6.340909091,GA,62,PIF
2019,8505700,115114,7.614285714,NJ,115,EXEMPT
2020,1383300,115114,6.514,AL,27,EXEMPT
2012,3635600,115115,6.932857143,KS,249,PIF
2013,100000,115115,8.625,CA,67,PIF
2014,1061200,115115,6.7,UT,2,EXEMPT
2015,1187700,115115,6.565,OH,47,PIF
2016,939000,115115,7.16,CA,50,EXEMPT
2017,1068200,115115,5.85,CA,73,EXEMPT
2018,843500,115115,8.15625,AZ,106,EXEMPT
2019,705900,115115,7.75,KY,102,EXEMPT
2020,350000,115115,7,CA,14,COMMIT
2012,1526700,115116,6.3125,NE,56,CANCLD
2013,595000,115116,5.728666667,CA,4,PIF
2014,811000,115116,5.55,PA,25,PIF
2015,820000,115116,6.303571429,ND,70,PIF
2016,595000,115116,7.894166667,TX,26,PIF
2017,160000,115116,8.5,OR,22,EXEMPT
2018,948500,115116,5.932,IA,10,EXEMPT
2019,687800,115116,8,MN,17,PIF
2020,2489000,115116,6.791666667,ID,174,EXEMPT
2012,6058300,115210,6.59952381,TX,67,EXEMPT
2013,13972001,115210,6.144193548,OH,187,PIF
2014,24795000,115210,5.896724138,SD,225,PIF
2015,21183300,115210,6.142053571,IL,218,EXEMPT
2016,14748100,115210,6.567403226,VA,211,PIF
